Категория,НазваниеГруппы,Факт_млн,Доля_pct,НакопленнаяДоля,ABC
Химические материалы и реагенты,Кварцевый песок,3014.34,10.26,10.26,A
Химические материалы и реагенты,Проппант,2840.66,9.67,19.93,A
СИЗ и спецодежда,Рабочая обувь,2553.34,8.69,28.619999999999997,A
Топливо и масла,Спецбитум,2460.65,8.37,36.989999999999995,A
ИТ и телеком,Программное обеспечение (ПО),1676.78,5.71,42.699999999999996,A
Металлопрокат и трубы,Стальные трубы (б/ш и э/с),938.82,3.2,45.9,A
Углеводородное сырье,Нефть (на подготовку),659.52,2.24,48.14,A
Металлопрокат и трубы,Насосно-компрессорные трубы (НКТ),473.6,1.61,49.75,A
Металлопрокат и трубы,Прочие стальные трубы,415.88,1.42,51.17,A
Топливо и масла,Индустриальные масла,399.38,1.36,52.53,A
Металлопрокат и трубы,Свайные трубы,356.63,1.21,53.74,A
Металлопрокат и трубы,Бурильные трубы,299.71,1.02,54.760000000000005,A
Металлопрокат и трубы,Сварные трубы,288.61,0.98,55.74,A
Металлопрокат и трубы,Катаные трубы,287.03,0.98,56.72,A
Металлопрокат и трубы,Бесшовные трубы (тянутые),253.04,0.86,57.58,A
Металлопрокат и трубы,Сварные трубы большого диаметра,245.89,0.84,58.42,A
Металлопрокат и трубы,Чугунные трубы,240.69,0.82,59.24,A
"Оборудование, техника и прочее",Подъемники для ремонта скважин,215.77,0.73,59.97,A
Металлопрокат и трубы,Стальные трубы с АКП,204.21,0.7,60.67,A
Металлопрокат и трубы,Обсадные трубы,203.1,0.69,61.36,A
Топливо и масла,Керосин (осветительный),182.53,0.62,61.98,A
Углеводородное сырье,Газ природный,181.15,0.62,62.599999999999994,A
Топливо и масла,Уплотнительные смазки,180.25,0.61,63.209999999999994,A
Металлопрокат и трубы,Трубы для трубопроводов,180.22,0.61,63.81999999999999,A
Топливо и масла,Дорожный битум,171.4,0.58,64.39999999999999,A
Топливо и масла,Мазут топочный,161.01,0.55,64.94999999999999,A
"Оборудование, техника и прочее",Очистка буровых растворов,157.1,0.53,65.47999999999999,A
Металлопрокат и трубы,Черный металлопрокат,154.61,0.53,66.00999999999999,A
Углеводородное сырье,Озокерит (сырье),151.34,0.52,66.52999999999999,A
Углеводородное сырье,Нефть (подготовленная),150.14,0.51,67.03999999999999,A
"Оборудование, техника и прочее",Вспомогательное буровое оборудование,148.99,0.51,67.55,A
"Оборудование, техника и прочее",КИПиА,146.79,0.5,68.05,A
Топливо и масла,Моторные масла,146.27,0.5,68.55,A
Химические материалы и реагенты,Химреагенты (промышленные),146.07,0.5,69.05,A
Топливо и масла,Реактивное топливо,142.97,0.49,69.53999999999999,A
Строительные материалы,Крепежный и тампонажный цемент,141.06,0.48,70.02,A
Подстанции и трансформаторы,Электродвигатели,139.64,0.48,70.5,A
"Оборудование, техника и прочее",Установки ЭЦН,137.5,0.47,70.97,A
Топливо и масла,Электроизоляционные масла,133.42,0.45,71.42,A
"Оборудование, техника и прочее",Вагон-дома и мобильные здания,130.0,0.44,71.86,A
ИТ и телеком,Прочая вычислительная техника,127.33,0.43,72.29,A
"Оборудование, техника и прочее",Буровой инструмент (калибраторы),124.82,0.42,72.71000000000001,A
"Оборудование, техника и прочее",Изоляционные материалы,123.57,0.42,73.13000000000001,A
ИТ и телеком,Периферийные устройства,118.05,0.4,73.53000000000002,A
"Оборудование, техника и прочее",Вентиляция и кондиционирование,118.0,0.4,73.93000000000002,A
Топливо и масла,Авиабензин,114.08,0.39,74.32000000000002,A
"Оборудование, техника и прочее",Оборудование для ремонта скважин,113.51,0.39,74.71000000000002,A
"Оборудование, техника и прочее",Инструменты,112.72,0.38,75.09000000000002,A
Подстанции и трансформаторы,Полупроводники,111.66,0.38,75.47000000000001,A
"Оборудование, техника и прочее",Судовое оборудование,111.04,0.38,75.85000000000001,A
"Оборудование, техника и прочее",Запчасти для бурового оборудования,109.81,0.37,76.22000000000001,A
"Оборудование, техника и прочее",Цементировочное оборудование,108.02,0.37,76.59000000000002,A
Топливо и масла,ГСМ и топливо,106.94,0.36,76.95000000000002,A
Топливо и масла,Присадки к маслам,105.63,0.36,77.31000000000002,A
"Оборудование, техника и прочее",Насосные штанги,104.54,0.36,77.67000000000002,A
"Оборудование, техника и прочее",Сантехника,104.45,0.36,78.03000000000002,A
Подстанции и трансформаторы,Трансформаторы,103.57,0.35,78.38000000000001,A
"Оборудование, техника и прочее",Буровые долота и головки,101.38,0.35,78.73,A
Металлопрокат и трубы,Чугун и сталь,101.23,0.34,79.07000000000001,A
Углеводородное сырье,Нефть (стабилизированная),98.25,0.33,79.4,A
Хозяйственные товары и материалы,Тара и упаковка,98.05,0.33,79.73,A
"Оборудование, техника и прочее",Щиты управления,97.71,0.33,80.06,B
Топливо и масла,Керосин и авиатопливо,96.97,0.33,80.39,B
Углеводородное сырье,Нефть (сырая),95.52,0.33,80.72,B
Топливо и масла,Гидравлические масла,95.48,0.32,81.03999999999999,B
"Оборудование, техника и прочее",Противовыбросовое оборудование (ПВО),94.0,0.32,81.35999999999999,B
ИТ и телеком,Персональные компьютеры,92.65,0.32,81.67999999999998,B
Топливо и масла,Дизтопливо арктическое,91.25,0.31,81.98999999999998,B
"Оборудование, техника и прочее",Фонтанная арматура,91.04,0.31,82.29999999999998,B
Маркетинг и PR,Сувенирная продукция,90.55,0.31,82.60999999999999,B
Подстанции и трансформаторы,Спецкабель (КПБК/КПБП),88.91,0.3,82.90999999999998,B
Подстанции и трансформаторы,Резисторы,88.86,0.3,83.20999999999998,B
Топливо и масла,Автохимия,88.82,0.3,83.50999999999998,B
Топливо и масла,Мазут металлургический,87.68,0.3,83.80999999999997,B
Строительные материалы,Железобетонные изделия (ЖБИ),86.86,0.3,84.10999999999997,B
Топливо и масла,Спецмасла,86.37,0.29,84.39999999999998,B
Транспорт и логистика,Автошины,85.87,0.29,84.68999999999998,B
Топливо и масла,Прочие смазки,85.83,0.29,84.97999999999999,B
Химические материалы и реагенты,Химреактивы (лабораторные),84.47,0.29,85.27,B
Подстанции и трансформаторы,Системы электроснабжения,81.96,0.28,85.55,B
ИТ и телеком,Навигация и телеметрия,80.6,0.27,85.82,B
ИТ и телеком,ПК и офисная техника,79.76,0.27,86.08999999999999,B
Топливо и масла,Прочие присадки,79.18,0.27,86.35999999999999,B
ИТ и телеком,Системы документооборота,78.95,0.27,86.62999999999998,B
Топливо и масла,Трансмиссионные масла,78.54,0.27,86.89999999999998,B
Топливо и масла,Смазочные материалы,78.43,0.27,87.16999999999997,B
ИТ и телеком,Беспроводная связь,78.32,0.27,87.43999999999997,B
Топливо и масла,Защитные смазки,77.99,0.27,87.70999999999997,B
Топливо и масла,Дизтопливо зимнее,76.5,0.26,87.96999999999997,B
Топливо и масла,Прочие нефтепродукты,76.06,0.26,88.22999999999998,B
Углеводородное сырье,Нефть (добытая),75.91,0.26,88.48999999999998,B
"Оборудование, техника и прочее",Медикаменты,75.41,0.26,88.74999999999999,B
"Оборудование, техника и прочее",Погружные насосы и запчасти,73.99,0.25,88.99999999999999,B
СИЗ и спецодежда,Спецодежда,73.68,0.25,89.24999999999999,B
ИТ и телеком,Спец. компьютерные устройства,73.11,0.25,89.49999999999999,B
"Оборудование, техника и прочее",Спецтехника,72.33,0.25,89.74999999999999,B
Хозяйственные товары и материалы,Посуда и кухонный инвентарь,72.05,0.25,89.99999999999999,B
Топливо и масла,Смазки и антифризы,70.78,0.24,90.23999999999998,B
ИТ и телеком,Проводная связь,69.88,0.24,90.47999999999998,B
Транспорт и логистика,Автотранспорт,69.54,0.24,90.71999999999997,B
"Оборудование, техника и прочее",Буровые установки,69.28,0.24,90.95999999999997,B
Топливо и масла,Бензины для химпрома,67.84,0.23,91.18999999999997,B
Подстанции и трансформаторы,Электроподстанции,67.49,0.23,91.41999999999997,B
Топливо и масла,Сырье и кокс,67.22,0.23,91.64999999999998,B
"Оборудование, техника и прочее",Термостойкое скважинное оборудование,65.82,0.22,91.86999999999998,B
ИТ и телеком,Навигационное оборудование,64.99,0.22,92.08999999999997,B
Топливо и масла,Дизтопливо прочее,64.98,0.22,92.30999999999997,B
Топливо и масла,Автобензин,64.6,0.22,92.52999999999997,B
Подстанции и трансформаторы,Кабельная продукция,64.38,0.22,92.74999999999997,B
Хозяйственные товары и материалы,Прочие хозматериалы,62.69,0.21,92.95999999999997,B
"Оборудование, техника и прочее",Оснастка обсадных колонн,62.57,0.21,93.16999999999996,B
Хозяйственные товары и материалы,Прочие материалы,61.97,0.21,93.37999999999995,B
Строительные материалы,Тампонажный цемент,61.47,0.21,93.58999999999995,B
"Оборудование, техника и прочее",Прочее скважинное оборудование,60.62,0.21,93.79999999999994,B
"Оборудование, техника и прочее",Нефтепромысловое оборудование,60.23,0.21,94.00999999999993,B
"Оборудование, техника и прочее",Котельное оборудование,59.66,0.2,94.20999999999994,B
"Оборудование, техника и прочее",Станки-качалки,58.65,0.2,94.40999999999994,B
Подстанции и трансформаторы,Аккумуляторы (АКБ),58.61,0.2,94.60999999999994,B
ИТ и телеком,Телеком-оборудование,56.82,0.19,94.79999999999994,B
Топливо и масла,Дизтопливо летнее,56.76,0.19,94.98999999999994,B
Подстанции и трансформаторы,Конденсаторы,56.44,0.19,95.17999999999994,C
"Оборудование, техника и прочее",Трубопроводная арматура,56.08,0.19,95.36999999999993,C
"Оборудование, техника и прочее",Устьевое оборудование,54.87,0.19,95.55999999999993,C
Хозяйственные товары и материалы,Комплектующие для общепита,53.55,0.18,95.73999999999994,C
Топливо и масла,Топливные присадки,53.43,0.18,95.91999999999994,C
Хозяйственные товары и материалы,Мебель,53.2,0.18,96.09999999999995,C
"Оборудование, техника и прочее",Радиолокационное оборудование,53.01,0.18,96.27999999999996,C
Топливо и масла,Строительный битум,52.82,0.18,96.45999999999997,C
Металлопрокат и трубы,Металлоконструкции,52.16,0.18,96.63999999999997,C
Металлопрокат и трубы,Прочая металлопродукция,51.49,0.18,96.81999999999998,C
Охрана и безопасность,Пожарное оборудование,51.09,0.17,96.98999999999998,C
"Оборудование, техника и прочее",Пакеры,50.98,0.17,97.15999999999998,C
Топливо и масла,Технологические масла,49.04,0.17,97.32999999999998,C
"Оборудование, техника и прочее",Скважинное оборудование,48.91,0.17,97.49999999999999,C
Топливо и масла,Компрессорные и турбинные масла,48.64,0.17,97.66999999999999,C
Транспорт и логистика,Автозапчасти,48.43,0.16,97.82999999999998,C
Топливо и масла,Бензины-растворители,47.65,0.16,97.98999999999998,C
Хозяйственные товары и материалы,Хозтовары,45.78,0.16,98.14999999999998,C
"Оборудование, техника и прочее",Прочее оборудование,45.44,0.15,98.29999999999998,C
"Оборудование, техника и прочее",Прочее электрооборудование,44.01,0.15,98.44999999999999,C
Топливо и масла,Прочие битумы,39.35,0.13,98.57999999999998,C
Металлопрокат и трубы,Промышленные металлоизделия,39.14,0.13,98.70999999999998,C
Химические материалы и реагенты,РТИ и пластиковые изделия,38.48,0.13,98.83999999999997,C
Топливо и масла,Мазут флотский,36.88,0.13,98.96999999999997,C
ИТ и телеком,Инженерные станции,36.04,0.12,99.08999999999997,C
"Оборудование, техника и прочее",Погружные электродвигатели (ПЭД),35.69,0.12,99.20999999999998,C
ИТ и телеком,Прочая компьютерная техника,35.01,0.12,99.32999999999998,C
"Оборудование, техника и прочее",Штанговые насосы (ШГН),34.18,0.12,99.44999999999999,C
Хозяйственные товары и материалы,Канцтовары,33.75,0.11,99.55999999999999,C
"Оборудование, техника и прочее",Оборудование для общепита,29.94,0.1,99.65999999999998,C
Топливо и масла,Прочие бензины,25.68,0.09,99.74999999999999,C
"Оборудование, техника и прочее",Нестандартизированное оборудование,25.59,0.09,99.83999999999999,C
Топливо и масла,"Твердое топливо (уголь, торф)",25.57,0.09,99.92999999999999,C
СИЗ и спецодежда,Средства индивидуальной защиты (СИЗ),23.64,0.08,100.00999999999999,
