КодКомиссии,ТипКомиссии,ТипЗакупки,ЧислоПроцедур,Сумма_млрд
ЗК-МТР-001,ЗК МТР,МТР,667,2.138
ЗК-МТР-002,ЗК МТР,МТР,621,2.324
ЗК-МТР-003,ЗК МТР,МТР,648,2.45
ЗК-МТР-004,ЗК МТР,МТР,632,2.347
ЗК-МТР-005,ЗК МТР,МТР,628,2.276
ЗК-МТР-006,ЗК МТР,МТР,666,1.861
ЗК-МТР-007,ЗК МТР,МТР,642,2.566
ЗК-МТР-008,ЗК МТР,МТР,642,2.465
ЗК-МТР-009,ЗК МТР,МТР,623,1.967
ЗК-МТР-010,ЗК МТР,МТР,650,2.488
ЗК-Услуги-001,ЗК Услуги,Услуги,0,
ЗК-Услуги-002,ЗК Услуги,Услуги,0,
ЗК-Услуги-003,ЗК Услуги,Услуги,0,
ЗК-Услуги-004,ЗК Услуги,Услуги,0,
ЗК-Услуги-005,ЗК Услуги,Услуги,0,
ЗК-Услуги-006,ЗК Услуги,Услуги,0,
ЗК-Услуги-007,ЗК Услуги,Услуги,0,
ЗК-Услуги-008,ЗК Услуги,Услуги,0,
ЗК-Услуги-009,ЗК Услуги,Услуги,0,
ЗК-Услуги-010,ЗК Услуги,Услуги,0,
ЦЗК-МТР-001,ЦЗК МТР,МТР,1,2.389
ЦЗК-МТР-002,ЦЗК МТР,МТР,2,4.111
ЦЗК-Услуги-001,ЦЗК Услуги,Услуги,0,
ЦЗК-Услуги-002,ЦЗК Услуги,Услуги,0,
ЗК-МТР-001,ЗК МТР,МТР,0,
ЗК-МТР-002,ЗК МТР,МТР,0,
ЗК-МТР-003,ЗК МТР,МТР,0,
ЗК-МТР-004,ЗК МТР,МТР,0,
ЗК-МТР-005,ЗК МТР,МТР,0,
ЗК-МТР-006,ЗК МТР,МТР,0,
ЗК-МТР-007,ЗК МТР,МТР,0,
ЗК-МТР-008,ЗК МТР,МТР,0,
ЗК-МТР-009,ЗК МТР,МТР,0,
ЗК-МТР-010,ЗК МТР,МТР,0,
ЗК-Услуги-001,ЗК Услуги,Услуги,215,0.312
ЗК-Услуги-002,ЗК Услуги,Услуги,234,0.456
ЗК-Услуги-003,ЗК Услуги,Услуги,199,0.277
ЗК-Услуги-004,ЗК Услуги,Услуги,202,0.263
ЗК-Услуги-005,ЗК Услуги,Услуги,217,0.488
ЗК-Услуги-006,ЗК Услуги,Услуги,217,0.285
ЗК-Услуги-007,ЗК Услуги,Услуги,235,0.303
ЗК-Услуги-008,ЗК Услуги,Услуги,199,0.438
ЗК-Услуги-009,ЗК Услуги,Услуги,212,0.357
ЗК-Услуги-010,ЗК Услуги,Услуги,238,0.459
ЦЗК-МТР-001,ЦЗК МТР,МТР,0,
ЦЗК-МТР-002,ЦЗК МТР,МТР,0,
ЦЗК-Услуги-001,ЦЗК Услуги,Услуги,0,
ЦЗК-Услуги-002,ЦЗК Услуги,Услуги,0,
