БизнесБлок,СтранаПроисхождения,Факт_млн,Доля_pct,ЧислоИмпортныхПозиций
ББ Газ,Белоруссия,4.3,1.14,3
ББ Газ,Германия,6.64,1.76,17
ББ Газ,Италия,0.97,0.26,1
ББ Газ,Казахстан,4.03,1.07,7
ББ Газ,Китай,20.7,5.48,22
ББ Газ,Нидерланды,1.98,0.52,2
ББ Газ,Россия,326.75,86.46,0
ББ Газ,США,6.69,1.77,8
ББ Газ,Турция,5.84,1.55,4
ББ КИЛ,Белоруссия,25.72,0.5,50
ББ КИЛ,Германия,63.15,1.24,122
ББ КИЛ,Италия,15.61,0.31,27
ББ КИЛ,Казахстан,25.62,0.5,46
ББ КИЛ,Китай,100.75,1.97,180
ББ КИЛ,Нидерланды,28.92,0.57,31
ББ КИЛ,Россия,4725.27,92.49,0
ББ КИЛ,США,74.2,1.45,100
ББ КИЛ,Турция,30.59,0.6,43
ББ КИЛ,Япония,19.1,0.37,19
ББ НПН,Белоруссия,25.6,0.47,32
ББ НПН,Германия,54.83,1.01,84
ББ НПН,Италия,6.0,0.11,10
ББ НПН,Казахстан,16.84,0.31,22
ББ НПН,Китай,62.34,1.15,92
ББ НПН,Нидерланды,12.58,0.23,16
ББ НПН,Россия,5175.64,95.29,0
ББ НПН,США,44.96,0.83,58
ББ НПН,Турция,26.73,0.49,33
ББ НПН,Япония,6.06,0.11,7
ББ Прочие,Белоруссия,19.88,0.65,25
ББ Прочие,Германия,48.49,1.59,69
ББ Прочие,Италия,4.62,0.15,7
ББ Прочие,Казахстан,19.67,0.64,21
ББ Прочие,Китай,63.5,2.08,92
ББ Прочие,Нидерланды,8.88,0.29,14
ББ Прочие,Россия,2830.93,92.73,0
ББ Прочие,США,33.04,1.08,45
ББ Прочие,Турция,18.52,0.61,25
ББ Прочие,Япония,5.42,0.18,9
ББ РиД,Белоруссия,73.16,0.72,95
ББ РиД,Германия,141.27,1.38,237
ББ РиД,Италия,37.68,0.37,47
ББ РиД,Казахстан,63.64,0.62,83
ББ РиД,Китай,182.64,1.79,260
ББ РиД,Нидерланды,35.04,0.34,55
ББ РиД,Россия,9506.94,93.08,0
ББ РиД,США,99.58,0.98,149
ББ РиД,Турция,60.52,0.59,91
ББ РиД,Япония,12.99,0.13,18
ББ Сервис,Белоруссия,10.98,0.21,22
ББ Сервис,Германия,49.44,0.95,63
ББ Сервис,Италия,13.22,0.25,16
ББ Сервис,Казахстан,20.29,0.39,26
ББ Сервис,Китай,51.29,0.99,78
ББ Сервис,Нидерланды,8.28,0.16,14
ББ Сервис,Россия,4986.37,95.96,0
ББ Сервис,США,27.61,0.53,40
ББ Сервис,Турция,26.76,0.51,33
ББ Сервис,Япония,2.1,0.04,6
