Год,БизнесБлок,Факт_млн,План_млн,ЧислоПроцедур
2022,ББ Газ,142.29,170.6,30
2022,ББ КИЛ,942.89,949.85,363
2022,ББ НПН,3096.35,3044.38,205
2022,ББ Прочие,770.29,802.75,219
2022,ББ РиД,3410.06,3421.74,579
2022,ББ Сервис,542.15,547.51,170
2023,ББ Газ,87.38,87.7,35
2023,ББ КИЛ,1863.32,2016.16,369
2023,ББ НПН,553.47,595.66,220
2023,ББ Прочие,688.94,706.91,193
2023,ББ РиД,1961.94,2048.96,629
2023,ББ Сервис,938.44,984.83,186
2024,ББ Газ,98.3,95.12,39
2024,ББ КИЛ,1226.0,1329.42,391
2024,ББ НПН,886.3,917.23,194
2024,ББ Прочие,870.58,875.81,179
2024,ББ РиД,1963.63,2033.94,612
2024,ББ Сервис,507.47,529.7,191
2025,ББ Газ,49.96,47.39,34
2025,ББ КИЛ,1076.73,1138.04,385
2025,ББ НПН,895.47,925.35,220
2025,ББ Прочие,723.13,723.12,187
2025,ББ РиД,2877.84,2859.6,597
2025,ББ Сервис,3208.29,3170.63,195
