ИНН,НазваниеПоставщика,Факт_млн,ЧислоПроцедур,ДоляРынка_pct,НакопленнаяДоля_pct
5603011386,ООО Специализированное тампонажное управление,2601.08,40,8.85,8.85
2466249029,ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ БАСТИОН,2473.33,16,8.41,17.259999999999998
770000000223,ООО Поставщик-РФ-223,1831.25,17,6.23,23.49
9705171690,ООО СМАРТСЕРВ,621.1,11,2.11,25.599999999999998
6316164422,ООО Научно-производственное предприятие БУРЕНИЕ,505.67,22,1.72,27.319999999999997
8605015335,ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ КОНСОЛЬ,384.92,16,1.31,28.629999999999995
8602285774,ООО РЕВЮР,335.93,23,1.14,29.769999999999996
770000000250,ООО Поставщик-РФ-250,333.35,19,1.13,30.899999999999995
770000000228,ООО Поставщик-РФ-228,271.7,13,0.92,31.819999999999997
3808091156,АО Авиакомпания ИрАэро,253.63,18,0.86,32.68
770000000208,ООО Поставщик-РФ-208,232.48,18,0.79,33.47
770000000227,ООО Поставщик-РФ-227,231.52,19,0.79,34.26
7839039731,ООО ИТР,225.96,20,0.77,35.03
8603150829,ООО Западно-Сибирская промышленная компания,224.76,15,0.76,35.79
7714867426,ООО ЭМЭФСИ,222.52,15,0.76,36.55
770000000230,ООО Поставщик-РФ-230,214.81,15,0.73,37.279999999999994
8904059355,ООО Пожарная охрана,212.97,14,0.72,37.99999999999999
770000000203,ООО Поставщик-РФ-203,211.06,13,0.72,38.71999999999999
8602217069,ООО СГК,208.32,13,0.71,39.42999999999999
8619017283,ООО ТРАСТ,208.06,19,0.71,40.13999999999999
8617016118,ООО ДОРОЖНО-СТРОИТЕЛЬНЫЙ ТРЕСТ №1,207.92,20,0.71,40.849999999999994
7204173910,ООО Гео Сервисная Компания,202.66,19,0.69,41.53999999999999
8602142712,ООО ПБН-СПЕЦМОНТАЖСЕРВИС,195.33,17,0.66,42.19999999999999
8602068466,ООО УК Юграгидрострой,186.65,17,0.63,42.82999999999999
770000000236,ООО Поставщик-РФ-236,183.97,11,0.63,43.459999999999994
770000000244,ООО Поставщик-РФ-244,181.35,13,0.62,44.07999999999999
770000000249,ООО Поставщик-РФ-249,180.68,21,0.61,44.68999999999999
7203471720,ООО НефтеГазСервиc-Групп,179.35,23,0.61,45.29999999999999
3818031445,ООО Магистральлогистик,174.49,16,0.59,45.88999999999999
7736540833,ООО ГАЗХОЛОДМАШ,171.41,18,0.58,46.46999999999999
7728803870,ООО ИСК Петроинжиниринг,171.29,19,0.58,47.04999999999999
8603132450,ООО Диабаз,170.34,20,0.58,47.62999999999999
770000000207,ООО Поставщик-РФ-207,168.54,16,0.57,48.19999999999999
8602270697,ООО АКР,166.92,18,0.57,48.76999999999999
5904266846,ООО ЮНИТЕК,162.91,17,0.55,49.319999999999986
770000000247,ООО Поставщик-РФ-247,158.61,23,0.54,49.859999999999985
7736035485,АО СОГАЗ,156.84,21,0.53,50.389999999999986
278095326,АО СИБКОМ,155.96,16,0.53,50.91999999999999
272010012,ООО НПП БУРИНТЕХ,152.39,19,0.52,51.43999999999999
770000000233,ООО Поставщик-РФ-233,144.76,18,0.49,51.92999999999999
