КодКомиссии,НазваниеКомиссии,ТипЗакупки,ТипКомиссии,ДатаЗакупочнойКомиссии
ЗК-МТР-001,Закупочная комиссия по МТР №1,МТР,ЗК МТР,2022-01-15
ЗК-МТР-002,Закупочная комиссия по МТР №2,МТР,ЗК МТР,2022-04-15
ЗК-МТР-003,Закупочная комиссия по МТР №3,МТР,ЗК МТР,2022-07-15
ЗК-МТР-004,Закупочная комиссия по МТР №4,МТР,ЗК МТР,2022-10-15
ЗК-МТР-005,Закупочная комиссия по МТР №5,МТР,ЗК МТР,2023-01-15
ЗК-МТР-006,Закупочная комиссия по МТР №6,МТР,ЗК МТР,2023-04-15
ЗК-МТР-007,Закупочная комиссия по МТР №7,МТР,ЗК МТР,2023-07-15
ЗК-МТР-008,Закупочная комиссия по МТР №8,МТР,ЗК МТР,2023-10-15
ЗК-МТР-009,Закупочная комиссия по МТР №9,МТР,ЗК МТР,2024-01-15
ЗК-МТР-010,Закупочная комиссия по МТР №10,МТР,ЗК МТР,2024-04-15
ЗК-Услуги-001,Закупочная комиссия по услугам №1,Услуги,ЗК Услуги,2022-02-15
ЗК-Услуги-002,Закупочная комиссия по услугам №2,Услуги,ЗК Услуги,2022-05-15
ЗК-Услуги-003,Закупочная комиссия по услугам №3,Услуги,ЗК Услуги,2022-08-15
ЗК-Услуги-004,Закупочная комиссия по услугам №4,Услуги,ЗК Услуги,2022-11-15
ЗК-Услуги-005,Закупочная комиссия по услугам №5,Услуги,ЗК Услуги,2023-02-15
ЗК-Услуги-006,Закупочная комиссия по услугам №6,Услуги,ЗК Услуги,2023-05-15
ЗК-Услуги-007,Закупочная комиссия по услугам №7,Услуги,ЗК Услуги,2023-08-15
ЗК-Услуги-008,Закупочная комиссия по услугам №8,Услуги,ЗК Услуги,2023-11-15
ЗК-Услуги-009,Закупочная комиссия по услугам №9,Услуги,ЗК Услуги,2024-02-15
ЗК-Услуги-010,Закупочная комиссия по услугам №10,Услуги,ЗК Услуги,2024-05-15
ЦЗК-МТР-001,Центральная закупочная комиссия по МТР №1,МТР,ЦЗК МТР,2022-01-15
ЦЗК-МТР-002,Центральная закупочная комиссия по МТР №2,МТР,ЦЗК МТР,2022-07-15
ЦЗК-Услуги-001,Центральная закупочная комиссия по услугам №1,Услуги,ЦЗК Услуги,2022-03-15
ЦЗК-Услуги-002,Центральная закупочная комиссия по услугам №2,Услуги,ЦЗК Услуги,2022-09-15
