КодФилиала,НазваниеФилиала,БизнесБлок,Регион,ИНН
1,АО «НК «Роснефть» — Новокуйбышевская нефтехимическая компания»,ББ НПН,Самарская обл.,6330017980
2,АО «Оренбургнефть»,ББ РиД,Оренбургская обл.,5612002469
3,ВСНК,ББ РиД,Красноярский край,7710007910
4,ООО ННПО,ББ НПН,ХМАО-Югра,8603087285
5,ООО РН-Карт,ББ КИЛ,Москва,7743529527
6,ООО РН-Черноземье,ББ КИЛ,Воронежская обл.,4629046705
7,РН-ОХРАНА-АНГАРСК,ББ Сервис,Иркутская обл.,3801090530
8,ПАО «НК «Роснефть» — Смоленскнефтепродукт»,ББ НПН,Смоленская обл.,6730017336
9,УНХ,ББ РиД,Респ. Башкортостан,277004037
10,АО «Башнефть-Новойл»,ББ НПН,Респ. Башкортостан,0274051582
11,АО Орелнефтепродукт,ББ КИЛ,Орловская обл.,5752007636
12,АО «НК «Роснефть» — Нижнекамский НПЗ»,ББ НПН,Приморский край,1651024606
13,ОАО «НК «Роснефть» — Туапсенефтепродукт»,ББ КИЛ,Краснодарский край,2322003867
14,ООО «РН-Краснодарнефтегаз»,ББ РиД,Краснодарский край,2309095298
15,АО «НК «Роснефть» — Ставрополье»,ББ РиД,Ставропольский край,2636035027
16,ООО «Башнефть-Сервис НПЗ»,ББ Сервис,Респ. Башкортостан,0275075378
17,ПАО АНК «Башнефть»,ББ РиД,Респ. Башкортостан,0274051582
18,ПАО «Саратовский НПЗ»,ББ НПН,Саратовская обл.,6451114900
19,АО «Самаранефтепродукт»,ББ КИЛ,Самарская обл.,6317019121
20,АО «Самотлорнефтегаз»,ББ РиД,ХМАО-Югра,8603089934
21,ООО «Славнефть-Красноярскнефтегаз»,ББ РиД,Красноярский край,2464036561
22,ООО «РН-Уватнефтегаз»,ББ РиД,Тюменская обл.,7225003194
23,АРТ АВИА,ББ Сервис,Москва,7728852028
24,ЗАО «Удмуртнефть-Бурение»,ББ РиД,Удмуртия,1834021289
25,ООО Удмуртэнергонефть,ББ РиД,Удмуртия,1834028862
26,АО «РН-ПН» (филиал в г. Уфе),ББ НПН,Респ. Башкортостан,6316012356
27,ЗАО ИННЦ,ББ Прочие,Удмуртия,1831100768
28,ООО «РН-Комсомольский НПЗ»,ББ НПН,Хабаровский край,2703032881
29,ООО «РН-Туапсинский НПЗ»,ББ НПН,Краснодарский край,2365004375
30,АО «Иркутскнефтепродукт»,ББ КИЛ,Иркутская обл.,3800000742
31,ВЧНГ,ББ РиД,Иркутская обл.,3808079367
32,ООО Башнефть-Сервис НПЗ,ББ Сервис,Респ. Башкортостан,0275075378
33,АО «НК «Роснефть» — Кубаньнефтепродукт»,ББ КИЛ,Краснодарский край,2309003018
34,ООО РН-ПУРНЕФТЕГАЗ,ББ РиД,ЯНАО,8913006455
35,АО РН-Няганьнефтегаз,ББ РиД,ХМАО-Югра,8610010727
36,АО РНПК,ББ РиД,Рязанская обл.,6227007322
37,ООО РН-Проектирование Добыча,ББ Прочие,Томская обл.,7000028520
38,ООО РН-Драгмет,ББ Прочие,Москва,7717687510
39,ООО РН-ГИР,ББ Прочие,Тюменская обл.,7202157173
40,ООО «РН-Аэро»,ББ Сервис,Москва,7705843041
41,АО РОСПАН ИНТЕРНЕШНЛ,ББ РиД,ЯНАО,7727004530
42,ЗАО «ТЗК Шереметьево»,ББ Сервис,Московская обл.,5047058580
43,АО РН-Ярославль,ББ РиД,Ярославская обл.,7604138678
44,Банк ВБРР,ББ Прочие,Москва,7736153344
45,АО «Брянскнефтепродукт»,ББ КИЛ,Брянская обл.,3201000493
46,ВНИКТИНХО,ББ Прочие,Волгоградская обл.,3442014492
47,ООО РН-Пожарная безопасность,ББ Сервис,Самарская обл.,6316130984
48,ООО РН-СтройКонтроль,ББ Сервис,Москва,7706449111
49,ООО Башнефть-Добыча,ББ РиД,Респ. Башкортостан,0277106840
50,ООО НЗМП,ББ НПН,Самарская обл.,6330017363
51,ООО ПНЦ Биосфера,ББ Прочие,Краснодарский край,2318039349
52,ООО РН-Юганскнефтегаз,ББ РиД,ХМАО-Югра,8604035473
53,ООО Удмуртнефть-Снабжение,ББ РиД,Удмуртия,1834028887
54,АО КНПЗ,ББ НПН,Самарская обл.,6314006396
55,АО Отрадненский ГПЗ,ББ Газ,Ставропольский край,6340005960
56,АнгараНефть,ББ РиД,Иркутская обл.,2466083119
57,Башнефть-ПЕТРОТЕСТ,ББ НПН,Респ. Башкортостан,0274161458
58,ПАО «НК «Роснефть» — Курганнефтепродукт»,ББ КИЛ,Курганская обл.,4500000013
59,АО РН-Тверь,ББ РиД,Тверская обл.,6905035353
60,ООО «РН-Морской терминал Туапсе»,ББ КИЛ,Краснодарский край,2365004417
61,ООО «РН-Бункер»,ББ КИЛ,Москва,7705839398
62,АО «НК «Роснефть» — Мурманскнефтепродукт»,ББ КИЛ,Мурманская обл.,5193102164
63,ООО «Башнефть-Розница»,ББ КИЛ,Респ. Башкортостан,1831090630
64,ООО «Таас-Юрях Нефтегазодобыча»,ББ РиД,Республика Саха (Якутия),1433015633
65,АО «РН-Москва»,ББ КИЛ,Москва,7706091500
66,ООО Соровскнефть,ББ РиД,Тюменская обл.,7202170632
67,ПАО «Саратовнефтепродукт»,ББ КИЛ,Саратовская обл.,6452034165
68,ООО «РН-Ванкор»,ББ РиД,Красноярский край,2465142996
69,ООО Интеллектуальные системы,ББ Прочие,Респ. Башкортостан,245959806
70,ООО Харампурнефтегаз,ББ РиД,ЯНАО,7536125117
71,РН-СТ,ББ Прочие,Москва,7706660065
72,ООО «РН-Морской терминал Находка»,ББ КИЛ,Приморский край,2508070844
73,АО Тюменнефтегаз,ББ РиД,Тюменская обл.,7202027216
74,АО АНПЗ ВНК,ББ НПН,Красноярский край,2443000518
75,Нефтепромлизинг,ББ Прочие,Московская обл.,7725594308
76,АО «Калуганефтепродукт»,ББ НПН,Калужская обл.,4029001011
77,ООО «РН-Морской терминал Архангельск»,ББ КИЛ,Архангельская обл.,2921009226
78,АЗКиОС,ББ КИЛ,Иркутская обл.,3801046676
79,АО СМНГШ,ББ РиД,Сахалинская обл.,6506000013
80,ООО ИК СИБИНТЕК,ББ Прочие,Москва,7708119944
81,АО «Грознефтегаз»,ББ РиД,Чеченская Республика,2020003571
82,РН-Лояльность,ББ КИЛ,Москва,7717287102
83,АО «Пензанефтепродукт»,ББ КИЛ,Пензенская обл.,5800000016
84,УОС / Уфаоргсинтез,ББ НПН,Респ. Башкортостан,0277014204
85,РН-Бурение,ББ РиД,Москва,7706613770
86,РН-Эксплорейшн,ББ РиД,Москва,7706230432
87,ООО СКН,ББ РиД,ЯНАО,4101150169
