КодГруппы,НазваниеГруппы,Категория
0,Капитальное строительство,Капитальное строительство и бурение
55,Эксплуатационное бурение,Геологоразведка и ГИС
56,Зарезка боковых стволов (ЗБС),Геологоразведка и ГИС
57,Сопровождение бурения,Геологоразведка и ГИС
58,Сейсморазведка,Геологоразведка и ГИС
59,Геофизические исследования (ГИС),Геологоразведка и ГИС
60,Корпоративная безопасность,Услуги
61,Работа с гибкими трубами (ГНКТ),Промысловые и операционные услуги
62,Ремонт и освоение скважин,Промысловые и операционные услуги
63,Автотранспортные услуги,Услуги
64,Строительство и содержание дорог,Услуги
65,Операционные услуги добычи,Услуги
66,Химизация добычи,Услуги
67,ТО и ремонт оборудования,Услуги
68,Обслуживание энергохозяйства,Услуги
69,Промбезопасность и контроль,Услуги
70,Операторские и агентские услуги,Услуги
71,Прочие нефтепромысловые услуги,Услуги
72,Строительно-монтажные работы (СМР),Услуги
73,Проектно-изыскательские работы (ПИР),Услуги
74,EPC/EPCM контракты,Услуги
77,Землеустроительные работы,Услуги
78,Непроизводственные объекты,Услуги
79,Авторский и технадзор,Услуги
80,Финансы и консалтинг,Услуги
81,Страхование,Услуги
82,Ж/д перевозки,Услуги
83,Авиаперевозки и работы,Услуги
84,Социально-бытовые услуги,Услуги
85,АХО и административные услуги,Услуги
86,ИТ-услуги и поддержка,Услуги
87,Охрана и режим,Услуги
89,Инвестпроекты и НИОКР,Услуги
90,Поставка углеводородов,Услуги
92,Маркетинг и мероприятия,Услуги
93,Аренда и покупка имущества,Услуги
94,HR и обучение персонала,Услуги
95,Экология и охрана труда,Услуги
96,Разведочное бурение,Геологоразведка и ГИС
99,Прочие геологические услуги,Геологоразведка и ГИС
101,Энергоснабжение,Промысловые и операционные услуги
102,Прочие непроизводственные услуги,Промысловые и операционные услуги
1000,Нефть (сырая),Углеводородное сырье
1100,Нефть (добытая),Углеводородное сырье
1300,Нефть (на подготовку),Углеводородное сырье
1400,Нефть (подготовленная),Углеводородное сырье
1500,Нефть (стабилизированная),Углеводородное сырье
1600,Озокерит (сырье),Углеводородное сырье
1700,Газ природный,Углеводородное сырье
2010,Авиабензин,Топливо и масла
2020,Автобензин,Топливо и масла
2030,Бензины-растворители,Топливо и масла
2040,Бензины для химпрома,Топливо и масла
2050,Прочие бензины,Топливо и масла
2110,Реактивное топливо,Топливо и масла
2120,Керосин (осветительный),Топливо и масла
2130,Керосин и авиатопливо,Топливо и масла
2210,Дизтопливо летнее,Топливо и масла
2220,Дизтопливо зимнее,Топливо и масла
2230,Дизтопливо арктическое,Топливо и масла
2240,Дизтопливо прочее,Топливо и масла
2310,Мазут топочный,Топливо и масла
2320,Мазут металлургический,Топливо и масла
2330,Мазут флотский,Топливо и масла
2410,Моторные масла,Топливо и масла
2420,Гидравлические масла,Топливо и масла
2430,Индустриальные масла,Топливо и масла
2440,Электроизоляционные масла,Топливо и масла
2450,Трансмиссионные масла,Топливо и масла
2460,Компрессорные и турбинные масла,Топливо и масла
2470,Технологические масла,Топливо и масла
2480,Спецмасла,Топливо и масла
2510,Смазки и антифризы,Топливо и масла
2520,Уплотнительные смазки,Топливо и масла
2530,Защитные смазки,Топливо и масла
2540,Смазочные материалы,Топливо и масла
2550,Прочие смазки,Топливо и масла
2610,Дорожный битум,Топливо и масла
2620,Строительный битум,Топливо и масла
2630,Спецбитум,Топливо и масла
2640,Прочие битумы,Топливо и масла
2710,Присадки к маслам,Топливо и масла
2720,Топливные присадки,Топливо и масла
2730,Прочие присадки,Топливо и масла
2810,Прочие нефтепродукты,Топливо и масла
3010,"Твердое топливо (уголь, торф)",Металлопрокат и трубы
3020,Сырье и кокс,Металлопрокат и трубы
3030,Чугун и сталь,Металлопрокат и трубы
3040,Черный металлопрокат,Металлопрокат и трубы
3050,Котельное оборудование,Металлопрокат и трубы
3060,Промышленные металлоизделия,Металлопрокат и трубы
3070,Обсадные трубы,Металлопрокат и трубы
3080,Трубы для трубопроводов,Металлопрокат и трубы
3090,Катаные трубы,Металлопрокат и трубы
3100,Бурильные трубы,Металлопрокат и трубы
3110,Бесшовные трубы (тянутые),Металлопрокат и трубы
3120,Стальные трубы (б/ш и э/с),Металлопрокат и трубы
3130,Сварные трубы,Металлопрокат и трубы
3140,Сварные трубы большого диаметра,Металлопрокат и трубы
3150,Насосно-компрессорные трубы (НКТ),Металлопрокат и трубы
3160,Стальные трубы с АКП,Металлопрокат и трубы
3170,Прочие стальные трубы,Металлопрокат и трубы
3171,Свайные трубы,Металлопрокат и трубы
3172,Чугунные трубы,Металлопрокат и трубы
3180,Прочая металлопродукция,Металлопрокат и трубы
3190,Химреагенты (промышленные),Металлопрокат и трубы
3200,РТИ и пластиковые изделия,Металлопрокат и трубы
3210,Пожарное оборудование,Металлопрокат и трубы
3220,Химреактивы (лабораторные),Металлопрокат и трубы
