ИНН,НазваниеПоставщика,УровеньПоставщика,СтатусПоставщика,СтранаРегистрации,СтранаБенефициаров,ДатаРегистрации,БазовыйРейтингНадежности
7736050003,ПАО Газпром,Основной,На пересмотре,Россия,Россия,2021-08-07,0.76
8603089941,АО ННК-ННП,Разовый,В черном списке,Россия,Россия,2019-11-10,0.73
9725063406,ООО Омега Энерджи,Разовый,На пересмотре,Россия,Россия,2019-03-12,0.89
8603157278,ООО ННК Северо-Варьеганское,Основной,Активный,Россия,Россия,2024-02-28,0.56
7719846807,ООО Нью Эйдж Инвестментс,Ключевой,Активный,Россия,Россия,2022-10-24,0.81
8610030917,ООО ННК-Няганьнефтегаз,Ключевой,На пересмотре,Россия,Россия,2022-08-18,0.8
7816043890,АО «БТК Групп»,Стратегический,Активный,Россия,Россия,2020-03-21,0.87
9728118639,АО Управляющая компания,Разовый,В черном списке,Россия,Россия,2023-06-14,0.81
1644005987,АО Татнефтеотдача,Основной,В черном списке,Россия,Россия,2018-04-30,0.91
3906331840,ООО БЭМ,Разовый,На пересмотре,Россия,Сингапур,2019-07-13,0.97
6670053231,ООО ТД ФТК,Стратегический,Активный,Россия,Россия,2016-04-29,0.7
7706061801,ПАО Транснефть,Разовый,Активный,Россия,Россия,2020-09-06,0.65
6501312481,ООО Сахалин Турбина Сервис,Разовый,На пересмотре,Россия,Россия,2016-12-14,0.74
6316271946,ООО ННК-Самаранефтегаз,Ключевой,Активный,Россия,Россия,2017-11-28,0.68
7717133960,ПАО НК РуссНефть,Ключевой,Активный,Россия,Россия,2020-05-30,0.82
1653008600,ООО Татнефтепроводстрой,Ключевой,Активный,Россия,Кипр,2018-07-20,0.95
6732075238,ООО Онлайн Кардс,Основной,На пересмотре,Россия,Нидерланды,2018-06-08,0.61
6686129782,ООО УСПК-СЕРВИС,Основной,Активный,Россия,Россия,2020-11-03,0.59
7703432328,ООО Таймырбурсервис,Основной,Активный,Россия,Нидерланды,2015-05-06,0.66
4707029837,ООО НТК,Ключевой,Активный,Россия,Россия,2022-10-30,0.87
7839039731,ООО ИТР,Основной,Активный,Россия,Россия,2016-06-20,0.81
7714024384,АО Технологии ОФС,Ключевой,В черном списке,Россия,Россия,2021-01-01,0.59
7449146953,ООО СТМ-Сервис,Основной,Активный,Россия,Россия,2020-09-03,0.9
8801011908,ООО Байкитская Нефтегазоразведочная Экспедиция,Основной,На пересмотре,Россия,Россия,2019-05-23,0.56
8603118208,АО СамотлорНефтеПромХим,Разовый,Активный,Россия,ОАЭ,2015-03-08,0.84
7705816471,АО Международный аэропорт Сочи,Ключевой,Активный,Россия,Россия,2015-08-21,0.89
1433015030,ООО ПБР,Основной,Активный,Россия,Россия,2020-11-26,0.71
7704459330,ООО РусГазБурение,Основной,Активный,Россия,Россия,2018-03-15,0.58
7706613770,ООО РН-БУРЕНИЕ,Стратегический,Активный,Россия,Россия,2020-11-28,0.58
7810190225,ООО АКРОС,Основной,Активный,Россия,Россия,2021-03-25,0.6
7730155419,ООО ГНС,Ключевой,Активный,Россия,Нидерланды,2015-04-21,0.92
8612016481,ООО РН-Групп,Стратегический,На пересмотре,Россия,Россия,2019-02-02,0.95
1106013435,ООО Бурсервис,Разовый,На пересмотре,Россия,Россия,2020-09-12,0.6
4501194499,ООО Бурводстрой,Разовый,Активный,Россия,Россия,2016-09-14,0.65
0271006454,ООО Башнефть-строй,Разовый,Активный,Россия,Россия,2022-08-27,0.62
5321029508,ПАО АКРОН,Основной,Активный,Россия,Россия,2022-03-27,0.63
4704057515,ООО Приморский торговый порт,Стратегический,Активный,Россия,Россия,2021-10-08,0.92
7203556170,ООО Эльбрус Дриллинг,Основной,Активный,Россия,Россия,2022-04-14,0.7
2709010901,ООО Трансбунке-Ванино,Основной,Активный,Россия,Россия,2019-03-22,0.69
7725111141,АО ИНЛАЙН ГРУПП,Ключевой,На пересмотре,Россия,Россия,2022-07-02,0.65
8603100120,ООО ДенКаРС,Основной,Активный,Россия,Россия,2018-07-29,0.82
7708345125,ООО СИБИРСКОЕ УПРАВЛЕНИЕ ВНУТРИСКВАЖИННЫХ РАБОТ,Стратегический,Активный,Россия,Россия,2024-04-14,0.72
8603222431,ООО НПО НАНЭКС,Разовый,Активный,Россия,Россия,2019-10-28,0.88
9705171690,ООО СМАРТСЕРВ,Ключевой,Активный,Россия,Россия,2020-05-29,0.64
7714867426,ООО ЭМЭФСИ,Основной,Активный,Россия,Россия,2021-06-20,0.9
7730282618,ООО Адвантидж Энерджи,Основной,Активный,Россия,Кипр,2017-05-26,0.82
7726351724,ООО КР ГРУПП,Основной,Активный,Россия,Россия,2020-06-12,0.6
9731140472,ООО Юнифрак Трейд,Ключевой,Активный,Россия,Россия,2018-12-31,0.93
4501174492,ООО Уралгеопроект,Разовый,Активный,Россия,Россия,2022-06-02,0.96
2309152771,ООО НПП Нефтехим,Разовый,Активный,Россия,Россия,2021-05-13,0.75
8904059355,ООО Пожарная охрана,Разовый,Активный,Россия,Россия,2019-09-30,0.76
5948040571,ООО ОРС,Основной,Активный,Россия,Россия,2019-03-07,0.81
8607100346,ООО Сибдорстрой,Разовый,Активный,Россия,Россия,2022-04-25,0.56
7725607130,ООО Сервисный Центр СБМ,Стратегический,Активный,Россия,Россия,2022-01-07,0.95
7731429736,ООО ОДК Инжиниринг,Ключевой,Активный,Россия,Россия,2024-05-14,0.66
7202135194,ООО Управление АЗС,Стратегический,Активный,Россия,Россия,2022-11-30,0.8
5019026876,ООО Таймыр Инвест,Основной,Активный,Россия,Россия,2021-07-25,0.62
7725613712,ООО ИНТЕГРА-СЕРВИСЫ,Основной,Активный,Россия,Россия,2019-06-19,0.56
8603214470,ООО СТАНДАРТ ОЙЛ ИНЖИНИРИНГ,Ключевой,Активный,Россия,Россия,2022-11-10,0.69
6340008625,ООО Отрадное,Разовый,Активный,Россия,Россия,2018-03-06,0.89
3812100526,ООО ТехЭнерго,Основной,Активный,Россия,Нидерланды,2017-01-28,0.67
7734720936,ООО НИКА-ПЕТРОТЭК,Ключевой,Активный,Россия,Россия,2023-01-25,0.65
6381010888,ООО ТРАЕКТОРИЯ-СЕРВИС,Основной,В черном списке,Россия,Россия,2015-08-31,0.64
1650371861,ООО Завод Нефтяного Оборудования,Разовый,Активный,Россия,Россия,2017-11-29,0.98
7728862509,ООО ЕСД,Стратегический,Активный,Россия,Россия,2015-08-17,0.75
2466237136,ООО СовТрансСтрой,Разовый,Активный,Россия,Сингапур,2022-02-08,0.8
8603148450,ООО МДС-СТРОЙ,Разовый,Активный,Россия,Кипр,2017-07-08,0.93
8602089508,АО Компания МТА,Ключевой,Активный,Россия,ОАЭ,2018-05-31,0.79
8602068466,ООО УК Юграгидрострой,Стратегический,Активный,Россия,Нидерланды,2015-01-06,0.63
5504118353,ООО УМГА,Разовый,В черном списке,Россия,ОАЭ,2024-04-16,0.68
7724294887,АО Росгеология,Разовый,Активный,Россия,Россия,2016-04-12,0.69
8602270697,ООО АКР,Разовый,Активный,Россия,Россия,2019-10-22,0.72
8605015335,ООО СТРОИТЕЛЬНАЯ КОМПАНИЯ КОНСОЛЬ,Разовый,Активный,Россия,Россия,2015-03-16,0.74
0276153614,ООО Нефтестрой,Стратегический,Активный,Россия,Россия,2015-01-04,0.9
0263029296,ООО Гепард,Основной,Активный,Россия,Россия,2020-02-14,0.7
8603093017,АО ТМК НЕФТЕГАЗСЕРВИС-НИЖНЕВАРТОВСК,Ключевой,Активный,Россия,Россия,2016-10-07,0.76
8604035184,ООО Сибгидрострой,Разовый,Активный,Россия,Нидерланды,2015-04-28,0.82
7017261765,ООО СТК,Основной,Активный,Россия,Россия,2023-01-07,0.72
5003116972,ООО НПЦ ВТД,Основной,Активный,Россия,ОАЭ,2019-06-18,0.92
8603165021,ООО Гидромеханизированные работы,Стратегический,Активный,Россия,Россия,2021-12-26,0.81
8602060026,АО Уралсибгидрострой,Основной,В черном списке,Россия,Россия,2020-07-14,0.68
7728803870,ООО ИСК Петроинжиниринг,Основной,Активный,Россия,Россия,2017-08-04,0.86
7017426368,АО СИБДОРСТРОЙ,Разовый,Активный,Россия,Россия,2022-03-06,0.78
6316164422,ООО Научно-производственное предприятие БУРЕНИЕ,Разовый,Активный,Россия,Россия,2015-07-13,0.76
7203126844,ООО ЭнергоТехСервис,Основной,Активный,Россия,Россия,2017-04-26,0.77
8603150829,ООО Западно-Сибирская промышленная компания,Ключевой,Активный,Россия,Россия,2022-07-25,0.89
8603140517,ООО ЮГРАЭНЕРГОСТРОЙ,Разовый,Активный,Россия,Россия,2018-11-16,0.6
7706660065,ООО РН-Сервис,Разовый,Активный,Россия,Россия,2023-06-25,0.7
1649015690,ООО ЛЕНИНОГОРСКРЕМСЕРВИС,Основной,Активный,Россия,Россия,2018-12-29,0.58
0278095326,АО СИБКОМ,Разовый,Активный,Россия,Россия,2021-01-29,0.88
2451000582,АО Енисейское речное пароходство,Основной,Активный,Россия,Россия,2024-03-25,0.67
5911074937,ООО АКТУМ,Основной,На пересмотре,Россия,Россия,2019-07-27,0.94
0272010012,ООО НПП БУРИНТЕХ,Основной,Активный,Россия,Россия,2021-07-01,0.78
7736514086,ООО СМИТ САЙБИРИАН СЕРВИСЕЗ,Стратегический,Активный,Россия,Россия,2018-12-04,0.9
8612017132,ООО ЮТЭК,Ключевой,Активный,Россия,Россия,2018-02-15,0.98
7706525041,ООО «РН-Энерго»,Стратегический,Активный,Россия,Россия,2022-11-23,0.92
8602194090,ООО СеверСпецСервис,Основной,Активный,Россия,Россия,2019-12-16,0.93
8612012328,ООО ТеплоЭнергоСервис,Основной,Активный,Россия,Россия,2016-12-24,0.73
8603170092,ООО НефтьЭнергоСтрой,Основной,Активный,Россия,Кипр,2015-08-13,0.79
8603183366,ООО ГП,Разовый,Активный,Россия,Россия,2016-06-15,0.66
8603091244,ООО Биметаллы,Ключевой,Активный,Россия,Россия,2015-04-23,0.64
7204186388,ООО ППНСибБурМаш,Основной,Активный,Россия,Россия,2020-12-27,0.77
8603116722,ООО Вахмонтажстрой,Разовый,Активный,Россия,Россия,2016-07-12,0.81
7806092088,ООО Мастер Вектор,Ключевой,Активный,Россия,Россия,2020-08-10,0.7
7708801530,АО КОНСАЛТИНВЕСТГРУПП,Стратегический,Активный,Россия,Россия,2020-11-07,0.8
8620005853,ООО КТП Свет,Ключевой,Активный,Россия,Россия,2016-10-15,0.94
3808091156,АО Авиакомпания ИрАэро,Ключевой,На пересмотре,Россия,Россия,2015-11-16,0.79
7326005335,ООО СП ВИС-МОС,Разовый,Активный,Россия,Россия,2019-04-23,0.87
6229024740,ООО НТЦ ЗЭРС,Разовый,Активный,Россия,Россия,2020-01-03,0.9
7203258777,ООО НПП СибБурмаш,Основной,Активный,Россия,Россия,2020-04-01,0.99
8603240536,ООО Энергия Сибири,Разовый,Активный,Россия,Россия,2015-05-19,0.82
8607013460,ООО Технологии Металла,Разовый,Активный,Россия,ОАЭ,2022-12-02,0.91
6311158009,Консорциум ООО «СТРОЙСИСТЕМА» с ООО «НЕФТЕСТРОЙМОНТАЖ-ГРУПП» и ООО «СТРОЙИНВЕСТ»,Ключевой,Активный,Россия,Россия,2020-07-19,0.97
8603203326,ООО ПромСтрой,Разовый,На пересмотре,Россия,Сингапур,2021-04-25,0.97
8604042801,ООО Сервис-Энерго,Основной,Активный,Россия,Россия,2017-06-20,0.61
8602285774,ООО РЕВЮР,Разовый,Активный,Россия,Нидерланды,2016-11-20,0.73
6685017532,ООО РЕМАН-СЕРВИС,Разовый,Активный,Россия,Россия,2020-08-01,0.69
1658073803,ООО МИРРИКО,Основной,Активный,Россия,Россия,2015-01-10,0.59
8603132450,ООО Диабаз,Ключевой,Активный,Россия,ОАЭ,2015-09-18,0.83
8619015462,ООО ЗССК,Ключевой,На пересмотре,Россия,Россия,2020-04-26,0.87
8603094902,ООО ЛСР,Основной,Активный,Россия,Россия,2019-08-01,0.92
6230000743,ЗАО МПК КРЗ,Разовый,В черном списке,Россия,Россия,2021-01-28,0.6
8603224164,ООО ОПТТОРГ,Стратегический,Активный,Россия,Россия,2020-08-22,0.83
6685153736,ООО АЗИМУТ НС,Основной,Активный,Россия,Россия,2018-04-06,0.86
9706023006,ООО Стоунбридж Лигал,Основной,Активный,Россия,Россия,2019-06-08,0.95
3818031445,ООО Магистральлогистик,Ключевой,Активный,Россия,Россия,2015-11-17,0.82
7717802970,ООО Индустрия 4.1,Ключевой,Активный,Россия,Россия,2018-09-04,0.7
8602067215,АО Газпром энергосбыт Тюмень,Основной,Активный,Россия,Россия,2019-06-25,0.91
7743791789,ООО УРАЛМАШ-ТЕХСЕРВИС,Разовый,Активный,Россия,Россия,2021-07-04,0.71
2721141058,ООО ЧОП Кедр,Основной,Активный,Россия,Россия,2022-10-03,0.57
