КодЗакупки,НазваниеЗакупки,ДатаЗакупки,КодФилиала,ИНН,КодГруппы,КодКомиссии,СуммаПлан,СуммаФакт,СтранаПроисхождения,ФлагИмпорта,СтатусКонтракта
40004111544,Закупка Нефть (на подготовку) для АнгараНефть (процедура 40004111544),2025-11-09,56,9705171690,1300,ЗК-МТР-007,489826878.97,593117610.24,Россия,0,Исполнен
40005518533,Закупка Индустриальные масла — АЗКиОС (№40005518533),2023-09-21,78,8605015335,2430,ЗК-МТР-004,300466484.97,278282081.57,Россия,0,Исполнен
40007691361,"Закупка Подъемники для ремонта скважин, филиал УНХ (процедура 40007691361)",2023-04-17,9,7714867426,3250,ЗК-МТР-008,198419771.89,190418202.37,Россия,0,Исполнен
40007574088,Закупка Керосин (осветительный) для ООО ТЮНГД (процедура 40007574088),2022-06-13,64,770000000228,2120,ЗК-МТР-005,107715426.71,140807487.04,Россия,0,Исполнен
40009090963,Закупка Дорожный битум — Морской терминал Туапсе (№40009090963),2025-08-22,60,5904266846,2610,ЗК-МТР-007,162342292.13,130307717.07,Россия,0,Исполнен
40000697986,"Закупка Газ природный, филиал АО КНП (процедура 40000697986)",2023-01-28,33,3808091156,1700,ЗК-МТР-010,140674776.58,121527933.29,Россия,0,Исполнен
40006046973,Закупка Стальные трубы (б/ш и э/с) для Уфимский филиал АО РН-ПН (процедура 40006046973),2024-02-12,26,6316164422,3120,ЗК-МТР-003,455231237.32,451505869.92,Россия,0,Исполнен
40007847737,Закупка Мазут топочный — ПАО НК Роснефть-Курганнефтепродукт (№40007847737),2023-03-12,58,7728803870,2310,ЗК-МТР-007,113354332.13,98246977.35,Россия,0,Исполнен
40002832558,"Закупка Очистка буровых растворов, филиал АО Отрадненский ГПЗ (процедура 40002832558)",2022-12-21,55,770000000250,3390,ЗК-МТР-008,115942725.78,92844335.08,Россия,0,Исполнен
40007368628,Закупка Моторные масла для АО РН-Ярославль (процедура 40007368628),2023-08-01,43,3808091156,2410,ЗК-МТР-005,60197583.33,75556518.0,Россия,0,В работе
40008931600,Закупка Буровой инструмент (калибраторы) — ООО РН-Пожарная безопасность (№40008931600),2022-08-14,47,8904034470,3340,ЗК-МТР-004,67083098.57,73577152.2,Россия,0,Исполнен
40005403595,"Закупка Уплотнительные смазки, филиал АЗКиОС (процедура 40005403595)",2023-11-20,78,7839039731,2520,ЗК-МТР-008,78792561.76,68819110.9,Россия,0,Исполнен
40007703275,Закупка Периферийные устройства для ООО РН-Черноземье (процедура 40007703275),2023-05-05,6,770000000196,3630,ЗК-МТР-008,79449508.68,61490221.57,Россия,0,Исполнен
40003182794,Закупка Нефть (подготовленная) — ООО РН-Пожарная безопасность (№40003182794),2025-09-09,47,8617016118,1400,ЗК-МТР-003,47339741.73,58516464.32,Россия,0,Исполнен
40003813367,"Закупка Вспомогательное буровое оборудование, филиал РН-Бурение (процедура 40003813367)",2024-06-05,85,8619017283,3450,ЗК-МТР-006,45289908.36,58075911.31,Россия,0,Исполнен
40006723319,Закупка Авиабензин для ООО РН-СтройКонтроль (процедура 40006723319),2022-11-30,48,770000000219,2010,ЗК-МТР-005,56924872.01,56378708.56,Россия,0,Исполнен
40002698158,Закупка Инструменты — АнгараНефть (№40002698158),2024-12-28,56,7816043890,3820,ЗК-МТР-002,61765538.56,54992607.79,Россия,0,Исполнен
40008342662,"Закупка Керосин и авиатопливо, филиал РН-Морской_терминал_Находка (процедура 40008342662)",2022-04-14,72,5504118353,2130,ЗК-МТР-008,72692505.35,54535472.55,Россия,0,Исполнен
40008850445,Закупка Озокерит (сырье) для АО РН-Ярославль (процедура 40008850445),2022-07-31,43,7717802970,1600,ЗК-МТР-006,43145465.21,52509447.68,Россия,0,Исполнен
40000527696,Закупка Реактивное топливо — РН-Морской_терминал_Находка (№40000527696),2025-02-25,72,7736035485,2110,ЗК-МТР-002,54079351.48,51062094.07,Россия,0,Исполнен
40001908915,"Закупка Вагон-дома и мобильные здания, филиал ООО Интеллектуальные системы (процедура 40001908915)",2022-02-26,69,770000000210,3520,ЗК-МТР-005,43309632.32,47190883.98,Россия,0,В работе
40002311885,Закупка Дизтопливо зимнее для ООО РН-Проектирование Добыча (процедура 40002311885),2025-01-09,37,7736540833,2220,ЗК-МТР-001,46124173.45,47121763.82,Россия,0,Исполнен
40000501906,Закупка Электродвигатели — ПАО НК Роснефть-Курганнефтепродукт (№40000501906),2025-03-08,58,770000000248,3570,ЗК-МТР-010,59731476.69,46979536.23,Россия,0,В работе
40007527870,"Закупка Прочие стальные трубы, филиал АО РН-Тверь (процедура 40007527870)",2025-10-05,59,770000000203,3170,ЗК-МТР-006,154540842.48,187863633.24,Россия,0,Исполнен
40001957612,Закупка Индустриальные масла для ООО РН-СтройКонтроль (процедура 40001957612),2025-07-04,48,8604071023,2430,ЗК-МТР-009,36254576.55,46523028.83,Россия,0,Исполнен
40000562309,Закупка Реактивное топливо — СНКНГ Славнефть-Красноярскнефтегаз (№40000562309),2023-04-25,21,770000000216,2110,ЗК-МТР-001,44229571.23,45397925.34,Россия,0,Расторгнут
40002726066,"Закупка Щиты управления, филиал ВНИКТИНХО (процедура 40002726066)",2024-05-10,46,7736035485,3320,ЗК-МТР-010,56672285.76,45051665.35,Россия,0,Исполнен
40009524420,Закупка Буровые долота и головки для АО РН-Няганьнефтегаз (процедура 40009524420),2025-05-10,35,7734580189,3350,ЗК-МТР-003,58681817.9,44126069.74,Россия,0,Исполнен
40005869112,Закупка Установки ЭЦН — АО ННК (№40005869112),2022-07-23,1,770000000199,3290,ЗК-МТР-007,47579572.72,42710399.07,Россия,0,Исполнен
40002651658,"Закупка Нефть (сырая), филиал РН-СТ (процедура 40002651658)",2024-04-12,71,274089610,1000,ЗК-МТР-004,40396471.32,41936246.08,Россия,0,Исполнен
40002062493,Закупка Свайные трубы для ООО РН-СтройКонтроль (процедура 40002062493),2025-10-01,48,8602142712,3171,ЗК-МТР-009,188301380.52,166890795.8,Россия,0,Исполнен
40001993390,Закупка Спецмасла — АО Тюменнефтегаз (№40001993390),2024-05-13,73,246513783782,2480,ЗК-МТР-003,49601593.39,39798979.64,Россия,0,Исполнен
40000119592,"Закупка Насосно-компрессорные трубы (НКТ), филиал ООО РН-СтройКонтроль (процедура 40000119592)",2023-12-22,48,770000000236,3150,ЗК-МТР-005,176357032.56,153443588.04,Россия,0,В работе
40008797438,Закупка ПК и офисная техника для ООО РН-Драгмет (процедура 40008797438),2022-11-18,38,8619015462,3590,ЗК-МТР-003,33529683.54,38202693.72,Россия,0,В работе
40000531819,Закупка Системы документооборота — ООО ИК СИБИНТЕК (№40000531819),2023-02-01,80,8602067215,3670,ЗК-МТР-007,35734451.34,37800282.25,Россия,0,Исполнен
40001787574,"Закупка Полупроводники, филиал ООО ПНЦ Биосфера (процедура 40001787574)",2023-05-20,51,8603093264,3710,ЗК-МТР-005,41984950.28,37133756.9,Россия,0,Исполнен
40004382493,Закупка Нефть (добытая) для ПЕНЗАНЕФТЕПРОДУКТ (процедура 40004382493),2022-05-31,83,5019026876,1100,ЗК-МТР-009,31140446.28,36590735.23,Россия,0,Расторгнут
40005469685,Закупка Навигация и телеметрия — 6. ПАО АНК Башнефть (№40005469685),2025-02-06,17,7751033130,3970,ЗК-МТР-007,44169794.3,36488670.87,Россия,0,Исполнен
40004254230,"Закупка Запчасти для бурового оборудования, филиал Туапсинский НПЗ (процедура 40004254230)",2024-04-16,29,7725613712,3440,ЗК-МТР-002,47466387.56,36011338.22,Россия,0,Исполнен
40004162996,Закупка Вспомогательное буровое оборудование для АО КНП (процедура 40004162996),2023-09-01,33,7839039731,3450,ЗК-МТР-004,42519926.21,35299069.19,Россия,0,Исполнен
40004549234,Закупка Присадки к маслам — ПАО НК Роснефть-Курганнефтепродукт (№40004549234),2024-12-14,58,7728803870,2710,ЗК-МТР-009,41419873.88,35233703.35,Россия,0,Исполнен
40004053737,"Закупка Сварные трубы, филиал АО РН-Ярославль (процедура 40004053737)",2025-05-10,43,8602068466,3130,ЗК-МТР-002,157907574.72,140123194.56,Россия,0,Расторгнут
40005058873,Закупка Нефть (подготовленная) для ВНИКТИНХО (процедура 40005058873),2023-08-04,46,265037983,1400,ЗК-МТР-010,39262300.36,34916295.29,Россия,0,Исполнен
40004340845,Закупка КИПиА — Саратовнефтепродукт (№40004340845),2024-11-07,67,8603140517,3870,ЗК-МТР-009,44518308.76,34724113.06,Россия,0,Исполнен
40005166787,"Закупка Трансформаторы, филиал ООО РН-Черноземье (процедура 40005166787)",2024-08-17,6,770000000218,3560,ЗК-МТР-010,43072392.63,34633133.08,Россия,0,Исполнен
40001330438,Закупка Трансмиссионные масла для УДМУРТНЕФТЬ-БУРЕНИЕ (процедура 40001330438),2022-10-20,24,7751033130,2450,ЗК-МТР-005,30520770.82,34468268.84,Россия,0,Исполнен
40004501862,Закупка Нефть (стабилизированная) — ООО ИК СИБИНТЕК (№40004501862),2024-05-12,80,770000000216,1500,ЗК-МТР-002,34410349.95,33914015.21,Россия,0,В работе
40000052787,"Закупка Изоляционные материалы, филиал АнгараНефть (процедура 40000052787)",2025-11-23,56,4501174492,3900,ЗК-МТР-004,26986519.76,33871791.19,Россия,0,Исполнен
