КодЗакупки,НазваниеЗакупки,ДатаЗакупки,КодФилиала,ИНН,КодГруппы,КодКомиссии,СуммаПлан,СуммаФакт,ФлагИмпорта,СтатусКонтракта
40007787204,Услуги Геофизические исследования (ГИС) для НК НПЗ (процедура 40007787204),2024-07-27,12,770000000219,59,ЗК-Услуги-001,134134625.23,100978923.35,0,Расторгнут
40007787204,Услуги Геофизические исследования (ГИС) — НК НПЗ (№40007787204),2024-07-27,12,7839039731,59,ЗК-Услуги-008,134134625.23,100978923.35,0,Расторгнут
40004335425,"Услуги Аренда и покупка имущества, филиал ООО РН Комсомольский - НПЗ (процедура 40004335425)",2024-07-23,28,5911074937,93,ЗК-Услуги-002,84718371.22,98595711.34,0,Исполнен
40008001138,Услуги Энергоснабжение для 00_РН-Москва (процедура 40008001138),2024-02-16,65,7717802970,101,ЗК-Услуги-005,84283770.99,77355253.51,0,Исполнен
40006259227,Услуги Землеустроительные работы — ООО РН_БУНКЕР (№40006259227),2024-06-03,61,8603165021,77,ЗК-Услуги-009,76365074.32,74294947.98,0,Исполнен
40008066196,"Услуги Страхование, филиал ВЧНГ (процедура 40008066196)",2024-02-04,31,7202135194,81,ЗК-Услуги-008,49502476.68,54211537.28,0,Исполнен
40000062302,Услуги Охрана и режим для МурманскНП (процедура 40000062302),2024-06-17,62,770000000238,87,ЗК-Услуги-002,64176143.52,50320964.7,0,Исполнен
40006492831,Услуги Строительство и содержание дорог — ООО РН-СтройКонтроль (№40006492831),2022-12-03,48,770000000215,64,ЗК-Услуги-009,44978366.1,47295631.61,0,В работе
40006492831,"Услуги Строительство и содержание дорог, филиал ООО РН-СтройКонтроль (процедура 40006492831)",2022-12-03,48,8602285774,64,ЗК-Услуги-005,44978366.1,47295631.61,0,В работе
40006992586,Услуги Строительно-монтажные работы (СМР) для АО РНПК (процедура 40006992586),2025-05-31,36,8604071023,72,ЗК-Услуги-010,45812563.17,45848155.48,0,Исполнен
40004322335,Услуги Непроизводственные объекты — АО РН-Тверь (№40004322335),2025-06-05,59,770000000230,78,ЗК-Услуги-006,58438861.88,43986026.94,0,Исполнен
40007954312,"Услуги Автотранспортные услуги, филиал Смоленск-НП (процедура 40007954312)",2025-08-13,8,7737106202,63,ЗК-Услуги-003,51611835.43,38559934.78,0,Исполнен
40003579626,Услуги Ж/д перевозки для АРТ АВИА (процедура 40003579626),2022-07-07,23,8603118208,82,ЗК-Услуги-003,30467396.54,36175244.33,0,Исполнен
40005469224,Услуги Эксплуатационное бурение — ООО РН_БУНКЕР (№40005469224),2022-07-30,61,7725700676,55,ЗК-Услуги-010,27496393.27,35219034.76,0,Исполнен
40001966265,"Услуги Разведочное бурение, филиал ООО РН Комсомольский - НПЗ (процедура 40001966265)",2025-01-13,28,7719846807,96,ЗК-Услуги-008,42222698.93,32794152.43,0,Исполнен
40000153740,Услуги Геофизические исследования (ГИС) для АнгараНефть (процедура 40000153740),2023-02-19,56,8619015462,59,ЗК-Услуги-010,35476609.5,31453975.98,0,Исполнен
40000323427,Услуги Экология и охрана труда — ООО РН-Пожарная безопасность (№40000323427),2023-04-14,47,7839039731,95,ЗК-Услуги-010,40669762.44,30159529.86,0,Исполнен
40006360291,"Услуги Ж/д перевозки, филиал ВНИКТИНХО (процедура 40006360291)",2024-10-21,46,6686129782,82,ЗК-Услуги-002,34787637.68,29148572.33,0,Исполнен
40001401725,Услуги Корпоративная безопасность для ВНИКТИНХО (процедура 40001401725),2022-07-13,46,275009544,60,ЗК-Услуги-002,36548860.66,28498121.37,0,Исполнен
40009892289,Услуги Прочие геологические услуги — АнгараНефть (№40009892289),2023-10-12,56,770000000198,99,ЗК-Услуги-005,17617600.79,23063256.41,0,Исполнен
40006051606,"Услуги Эксплуатационное бурение, филиал РН-АЭРО (процедура 40006051606)",2022-01-12,40,5019026876,55,ЗК-Услуги-006,30533917.28,23051571.64,0,В работе
40009867483,Услуги Капитальное строительство для РН-ОХРАНА-АНГАРСК (процедура 40009867483),2023-06-13,7,272010012,0,ЗК-Услуги-002,18325643.01,22393709.99,0,Исполнен
40000526558,Услуги АХО и административные услуги — АнгараНефть (№40000526558),2022-08-12,56,7703432328,85,ЗК-Услуги-005,21853871.85,21341744.24,0,Исполнен
40007820777,"Услуги Авиаперевозки и работы, филиал ООО ПНЦ Биосфера (процедура 40007820777)",2025-04-23,51,8602067215,83,ЗК-Услуги-007,17066051.83,20462789.16,0,Исполнен
40001467707,Услуги Строительно-монтажные работы (СМР) для УНХ (процедура 40001467707),2024-06-23,9,8602194090,72,ЗК-Услуги-010,22776120.69,19601666.49,0,Исполнен
40008199353,Услуги Аренда и покупка имущества — СНКНГ Славнефть-Красноярскнефтегаз (№40008199353),2024-08-19,21,770000000193,93,ЗК-Услуги-010,23875350.23,19411936.76,0,Исполнен
40004029186,"Услуги Прочие геологические услуги, филиал РН-АЭРО (процедура 40004029186)",2025-10-17,40,770000000237,99,ЗК-Услуги-008,17784995.93,17298380.25,0,Исполнен
40009514627,Услуги Автотранспортные услуги для РН-Морской_терминал_Находка (процедура 40009514627),2022-05-13,72,265037983,63,ЗК-Услуги-007,21457048.03,17213829.22,0,Исполнен
40007816161,Услуги Социально-бытовые услуги — ООО РН-Черноземье (№40007816161),2024-07-22,6,8602142712,84,ЗК-Услуги-008,17474566.05,17055510.28,0,Исполнен
40007962544,"Услуги Операционные услуги добычи, филиал АО СМНГШ (процедура 40007962544)",2023-09-21,79,7839039731,65,ЗК-Услуги-009,20327288.31,16724690.26,0,В работе
40001547509,Услуги Обслуживание энергохозяйства для Филиал ПАО АНК Башнефть Башнефть-Новойл (процедура 40001547509),2022-08-26,10,770000000227,68,ЗК-Услуги-005,12879679.34,16202393.07,0,Исполнен
40007792807,Услуги ИТ-услуги и поддержка — АО РН-Ярославль (№40007792807),2023-04-03,43,770000000233,86,ЗК-Услуги-005,13587634.54,15997815.84,0,В работе
40001152510,"Услуги Работа с гибкими трубами (ГНКТ), филиал АО РН-Ярославль (процедура 40001152510)",2022-06-15,43,7725111141,61,ЗК-Услуги-010,13721605.7,15884935.73,0,Исполнен
40001388468,Услуги Автотранспортные услуги для Саратовнефтепродукт (процедура 40001388468),2025-03-11,67,8603148450,63,ЗК-Услуги-004,16461674.79,15685031.93,0,В работе
40006667051,Услуги ТО и ремонт оборудования — АО РН-Ярославль (№40006667051),2023-01-18,43,7703567364,67,ЗК-Услуги-009,18903541.45,15474613.95,0,В работе
40009404271,"Услуги Непроизводственные объекты, филиал АО РН-Ярославль (процедура 40009404271)",2025-03-17,43,7717802970,78,ЗК-Услуги-005,14587161.66,15284598.61,0,Исполнен
40006160987,Услуги Проектно-изыскательские работы (ПИР) для РН-СТАВРОПОЛЬЕ (процедура 40006160987),2022-07-24,15,770000000237,73,ЗК-Услуги-002,17647229.88,15262197.75,0,Исполнен
40005186156,Услуги Обслуживание энергохозяйства — РН-ОХРАНА-АНГАРСК (№40005186156),2025-06-14,7,770000000230,68,ЗК-Услуги-010,14841104.75,15040752.36,0,Исполнен
40000563462,"Услуги Авиаперевозки и работы, филиал Нефтепромлизинг (процедура 40000563462)",2024-12-09,75,770000000237,83,ЗК-Услуги-008,12167698.94,14677121.22,0,В работе
40003263760,Услуги Охрана и режим для РН-Эксплорейшн (процедура 40003263760),2024-11-13,86,7731429736,87,ЗК-Услуги-007,11669537.44,14266114.1,0,Исполнен
40009361191,Услуги Прочие нефтепромысловые услуги — АО РН-Няганьнефтегаз (№40009361191),2022-06-21,35,770000000212,71,ЗК-Услуги-008,11324162.61,14095888.42,0,Исполнен
40008065546,"Услуги Аренда и покупка имущества, филиал ООО РН-Пожарная безопасность (процедура 40008065546)",2025-07-09,47,7718607570,93,ЗК-Услуги-003,16183014.65,13917355.7,0,Исполнен
40003478412,Услуги Проектно-изыскательские работы (ПИР) для ООО РН_БУНКЕР (процедура 40003478412),2024-04-29,61,7714905368,73,ЗК-Услуги-004,12847067.23,13710821.15,0,В работе
40007090178,Услуги Капитальное строительство — ООО РН-ГИР (№40007090178),2022-06-18,39,6229024740,0,ЗК-Услуги-005,14736205.85,13441819.44,0,Исполнен
40001142369,"Услуги Зарезка боковых стволов (ЗБС), филиал УНХ (процедура 40001142369)",2024-08-01,9,8612012328,56,ЗК-Услуги-006,17094647.83,12765184.44,0,Исполнен
40004880701,Услуги Страхование для ООО РН-Пожарная безопасность (процедура 40004880701),2022-02-12,47,770000000213,81,ЗК-Услуги-001,9589259.62,12664372.66,0,Исполнен
40009031133,Услуги Корпоративная безопасность — ООО РН-Проектирование Добыча (№40009031133),2022-07-13,37,5904266846,60,ЗК-Услуги-004,10055303.17,12644337.66,0,Исполнен
40005976369,"Услуги Корпоративная безопасность, филиал АО РН-Няганьнефтегаз (процедура 40005976369)",2024-07-04,35,8911008591,60,ЗК-Услуги-010,10555383.25,12406998.66,0,Расторгнут
40001716117,Услуги Инвестпроекты и НИОКР для ООО НЗМП (процедура 40001716117),2022-05-27,50,8607013460,89,ЗК-Услуги-005,15209888.85,12005500.18,0,В работе
40004503982,Услуги Прочие непроизводственные услуги — РН-АЭРО (№40004503982),2025-05-29,40,770000000215,102,ЗК-Услуги-007,14491338.18,11983141.03,0,Исполнен
40004515027,"Услуги ИТ-услуги и поддержка, филиал ВНИКТИНХО (процедура 40004515027)",2022-03-25,46,770000000198,86,ЗК-Услуги-005,9944594.29,11820687.59,0,Исполнен
40005904989,Услуги Капитальное строительство для ООО СКН (процедура 40005904989),2022-03-14,87,8604042801,0,ЗК-Услуги-001,11454429.98,11793600.85,0,Исполнен
40008509706,Услуги Авторский и технадзор — СНКНГ Славнефть-Красноярскнефтегаз (№40008509706),2024-06-02,21,6685017532,79,ЗК-Услуги-007,14102633.17,11631416.28,0,Исполнен
40003112517,"Услуги Строительство и содержание дорог, филиал РН-Морской_терминал_Находка (процедура 40003112517)",2024-03-25,72,770000000205,64,ЗК-Услуги-008,11530791.68,11464910.33,0,Исполнен
40001726676,Услуги Промбезопасность и контроль для АООРЕНБУРГНЕФТЬ (процедура 40001726676),2022-04-20,2,770000000241,69,ЗК-Услуги-007,12927756.12,11104449.75,0,Исполнен
40001655392,Услуги Авторский и технадзор — ООО ИК СИБИНТЕК (№40001655392),2022-04-10,80,8603140517,79,ЗК-Услуги-004,9708179.85,11023991.63,0,Исполнен
40007793291,"Услуги Геофизические исследования (ГИС), филиал ВНИКТИНХО (процедура 40007793291)",2023-08-07,46,770000000201,59,ЗК-Услуги-008,9702790.98,10833568.6,0,Исполнен
40009970894,Услуги Эксплуатационное бурение для СНКНГ Славнефть-Красноярскнефтегаз (процедура 40009970894),2025-07-18,21,8602060026,55,ЗК-Услуги-005,14432761.06,10790699.15,0,Исполнен
40000357329,Услуги Аренда и покупка имущества — ООО РН-Драгмет (№40000357329),2024-02-14,38,2466237136,93,ЗК-Услуги-010,14316737.19,10764997.98,0,Исполнен
40009622792,"Услуги Социально-бытовые услуги, филиал РН-АЭРО (процедура 40009622792)",2022-08-06,40,7703432328,84,ЗК-Услуги-009,12663216.18,10762046.81,0,Исполнен
40000751088,Услуги Маркетинг и мероприятия для ООО Удмуртэнергонефть (процедура 40000751088),2022-06-16,25,770000000211,92,ЗК-Услуги-010,11175635.29,10689835.69,0,Исполнен
40008204539,Услуги Инвестпроекты и НИОКР — УДМУРТНЕФТЬ-БУРЕНИЕ (№40008204539),2025-03-22,24,770000000248,89,ЗК-Услуги-005,8435848.02,10405443.33,0,Исполнен
